       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle

 -0.780054	 -0.019641	  0.840859	0.134584	0.0775456	9	5	178.558
  -0.27483	 -0.290433	  0.526984	 0.57633	0.209797	1	1	133.419
 -0.011715	  0.187905	  0.407749	0.431852	0.101975	1	1	93.5676
 -0.197317	  0.160603	  0.013455	0.262115	0.0339837	1	1	140.857
 -0.123947	  0.490092	  0.399773	  0.2231	0.0728107	3	1	104.193
  0.253512	  0.180988	  0.275267	0.405161	0.0879829	1	1	35.5239
 -0.200957	  0.159868	  0.510722	0.520404	0.160464	1	1	141.497
  -0.35506	  0.222607	  0.395106	 0.52326	0.162715	1	1	147.914
 -0.036907	 -0.253046	  0.848104	0.300167	0.136085	3	2	98.2982
  0.041346	  0.030648	  0.050472	0.0766235	0.00276576	1	1	36.548
 -0.322628	  0.276523	   3.32975	0.454977	0.807853	7	3	139.4
  0.017209	 -0.002363	 -0.028028	0.0351321	0.000579406	1	1	7.8185
  0.317826	  0.262332	 -0.202759	0.160971	0.0372085	3	1	39.5361
  0.242108	  0.108737	  0.358412	0.429395	0.100626	1	1	24.1861
 -0.211749	  0.412797	  0.419188	0.316045	0.101405	2	1	117.156
 -0.428155	 -0.762138	  0.067833	0.132302	0.0582568	7	4	119.327
  0.281238	 -0.074651	  0.257797	0.382867	0.0773674	1	1	14.8656
  0.053273	 -0.066999	 -0.111656	0.148331	0.0104925	1	1	51.5107
  0.141906	  0.105101	  0.180659	 0.26006	0.0334243	1	1	36.5251
  0.247593	 -0.262019	   1.05231	0.193762	0.108797	6	2	46.6215
  0.368372	  -0.67602	   0.15735	0.641767	 0.28541	1	0	61.4135
 -0.320259	 -0.209009	  0.435793	0.294993	0.0874644	2	0	146.871
  0.331084	  0.419395	   1.00351	0.771353	0.535899	1	1	51.7113
 -0.130591	 -0.273267	  0.938147	0.724461	0.422769	1	1	115.543
 -0.138038	  0.169426	  0.089897	0.244294	0.0293082	1	1	129.171
 -0.952172	 -0.024732	 -0.115937	0.247701	0.120718	4	3	178.512
  0.210438	  0.125828	  0.732819	0.635844	0.277313	1	1	30.8767
  0.528679	    1.0114	   2.55985	0.705559	 1.15734	3	2	62.4031
 -0.210255	 -0.249707	   12.2522	0.708654	 5.09257	13	4	130.098
  0.013202	  0.115267	 -0.139221	0.189698	0.0173467	1	1	83.4662
 -0.562268	 -0.277953	   2.52948	0.679353	 1.02113	3	2	153.695
  0.075872	 -0.301858	  0.466539	0.513172	0.154876	1	1	75.891
  0.251729	 -0.174159	  0.068177	 0.31708	0.0510354	1	1	34.6775
  0.013844	  0.012622	  0.149048	0.158135	0.0119528	1	1	42.3564
 -0.406004	  0.159633	  0.942121	0.742015	0.461199	1	1	158.536
 -0.706281	 -0.228108	  0.574574	0.447258	0.221602	2	1	162.101
  -0.19196	  0.377539	  0.163988	0.435799	0.104171	1	1	116.951
 -0.072425	  0.298803	   0.33918	0.438601	0.105751	1	1	103.625
 -0.466463	  0.067996	  0.616984	0.637654	0.279672	1	1	171.707
   0.00485	 -0.454489	    1.0151	0.367459	0.211752	3	2	89.3887
 -0.263453	 -0.012907	  0.550026	0.545178	0.180904	1	1	177.195
 -0.099413	  -0.15836	  0.784357	 0.65148	0.298699	1	0	122.119
 -0.008722	 -0.055911	 -0.073653	0.0985383	0.00458733	1	1	98.8666
  0.239127	 -0.454929	  0.843729	0.725198	0.424301	1	1	62.272
  0.422184	  0.163332	  0.390677	0.537135	0.174223	1	0	21.1502
 -0.303873	  0.026823	  0.867105	0.699913	0.375306	1	1	174.956
  0.184922	 -0.287697	  0.056338	0.346615	0.0619918	1	1	57.2685
  0.023398	  0.146583	 -0.033037	0.160033	0.0122471	1	1	80.9309
  -0.11409	 -0.000769	 -0.215619	0.251696	0.0312021	1	1	179.614
  0.485455	  0.828536	  0.750227	 0.79243	0.599798	1	1	59.6332
   0.43507	 -0.415724	   4.30195	0.679435	 1.70231	5	4	43.6974
 -0.090074	 -0.148919	  0.087164	0.203185	0.0199832	1	1	121.168
  -0.01366	 -0.227344	  0.317027	0.383866	0.0779066	1	0	93.4386
 -0.204391	  0.367081	  0.283118	0.475233	0.128079	1	1	119.109
 -0.695984	  0.204417	  0.712474	   0.735	0.445345	1	1	163.632
 -0.080698	   0.10688	  0.043117	0.148333	0.0104928	1	1	127.054
 -0.096606	  0.011673	 -0.088779	0.139064	0.00920362	1	1	173.11
 -0.368215	 -0.237661	  0.268031	0.480351	0.131462	1	1	147.16
  0.074264	 -0.508569	   1.31906	 0.60215	0.474001	2	1	81.6921
  0.171332	 -0.074127	  -0.06047	0.103978	0.0102295	2	1	23.3958
 -0.304212	 -0.322524	 -0.055067	0.430011	0.100962	1	1	133.327
  0.330225	   0.32268	  0.456633	0.569203	0.202846	1	1	44.338
  0.065138	  0.076504	  0.133178	0.175109	0.0147204	1	1	49.5879
  -0.20372	 -0.236442	  0.247366	0.390801	0.0810391	1	1	130.749
  -1.14267	 -0.087018	   1.51373	0.374962	0.369426	5	1	175.645
 -0.279978	 -0.435852	  0.987318	0.368134	0.212697	3	1	122.716
  0.248184	 -0.079216	  0.710028	0.627683	0.266929	1	1	17.7022
  0.619765	  0.011522	  0.755847	0.461903	0.239288	2	1	1.06506
  0.038832	  0.389336	  0.721359	0.658057	0.308065	1	0	84.3043
 -0.041072	  0.018201	  0.626643	0.556079	0.190788	1	0	156.1
  0.103583	 -0.046076	   1.80212	0.887207	 1.09624	1	0	23.9806
 -0.004663	  0.212978	 -0.091058	0.239541	0.0281577	1	0	91.2543
  0.021096	 -0.186652	  0.048176	 0.20225	0.0198149	1	0	83.5517
  0.411875	  0.059138	  0.148155	0.425644	0.0986942	1	0	8.17083
 -0.292268	 -0.285771	  0.205856	0.438131	0.105597	1	0	135.644
 -0.306676	 -0.369903	  0.259022	0.502577	0.147136	1	0	129.661
  0.237081	 -0.595532	    1.3971	0.479122	0.392209	3	1	68.2926
 -0.161243	  0.512499	 -0.071814	0.142834	0.0389108	4	0	107.465
 -0.482684	 -0.670126	  0.896424	 0.54482	0.361187	2	2	125.765
 -0.473662	  0.136047	  0.997738	0.509776	0.304941	2	0	163.975
  0.269848	  0.307983	  0.231225	0.447786	 0.11117	1	0	48.7759
 -0.092812	  0.170089	   0.35958	0.398892	0.0849937	1	0	118.62
 -0.024998	  0.075755	  0.168428	0.194674	0.0183154	1	0	108.262
 -0.072099	  0.036591	  0.201222	0.225023	0.024716	1	0	153.092
 -0.014791	 -0.460315	  0.475447	0.576167	 0.20986	1	0	91.8405
 -0.170217	  0.031024	  0.230502	0.293427	0.0432365	1	0	169.671
 -0.150592	  -0.42017	  0.441818	0.555945	0.190666	1	0	109.718
 -0.105734	  0.193971	   1.22734	0.798859	 0.62205	1	0	118.595
  0.004548	 -0.088954	  0.419033	0.415069	0.0931062	1	0	87.0732
 -0.293882	  0.006811	  0.181712	0.345391	0.0615765	1	0	178.673
  0.433142	 -0.024962	  0.604306	0.620984	0.258974	1	0	3.29831
 -0.022235	  0.041923	 -0.001002	0.0504841	0.00119888	1	0	117.941
 -0.401047	  0.227664	   0.07837	0.445896	0.110063	1	0	150.418
 -0.009031	  0.261222	   0.48226	0.504411	0.148481	1	0	91.9801
 -0.142544	   0.24636	  0.180375	0.337768	0.0586313	1	0	120.054
