       p_x	       p_y	       p_z	       v	       E	A	Z	polar angle

  0.013874	  0.107369	   -0.0551	0.128434	0.00783328	1	1	82.6372
 -0.191556	 -0.161303	  0.924409	0.454691	0.230329	2	2	139.9
  0.219025	  0.405726	  0.001723	0.161638	 0.03751	3	2	61.6383
 -0.449123	  0.080465	  0.282191	0.496478	0.142584	1	1	169.843
 -0.342262	  0.070326	  0.355037	0.469026	0.124066	1	1	168.389
 -0.333348	 -0.714838	  0.812341	0.197097	0.112688	6	2	115.001
  0.248378	  0.675047	   1.87549	0.292378	0.300208	7	3	69.7994
  0.423526	  0.134061	  0.876731	0.723422	 0.42062	1	1	17.5644
 -0.173786	 -0.015712	  0.467497	 0.46966	0.124472	1	1	174.834
 -0.040886	  0.208255	  0.173438	0.280473	0.0392239	1	1	101.108
  0.770119	  -0.14372	  0.703424	0.350212	0.190393	3	1	10.571
  -0.15959	 -0.131375	  0.177123	0.278708	0.038701	1	1	140.539
 -0.046721	   0.68612	   1.37346	 0.63351	0.548605	2	2	93.8956
   0.06424	 -0.084991	  0.119768	0.168449	0.0135979	1	1	52.9164
  0.546293	  0.440047	  0.581166	0.235877	0.108974	4	3	38.852
   -1.9741	  0.752685	   2.46671	0.107511	0.175095	32	14	159.129
 -0.627759	  0.289013	   1.74935	0.555432	0.570397	3	1	155.279
 -0.102618	  0.181517	  0.235348	0.317833	0.0512985	1	1	119.481
 -0.122926	 -0.698417	 -0.333907	0.385173	0.157012	2	0	99.9823
 -0.161023	 -0.171544	 -0.012793	0.124621	0.0147394	2	2	133.188
 -0.140757	  0.436481	  0.204694	0.471628	 0.12587	1	0	107.874
 -0.351569	  0.004657	  0.415388	0.501839	0.146442	1	1	179.241
  0.217711	 -0.148821	  0.632501	0.589913	0.223657	1	1	34.3554
  0.074532	  0.195924	   0.34799	0.397428	0.0841948	1	1	69.1726
 -0.214226	 -0.195689	  0.442109	0.491102	0.138797	1	1	137.589
 -0.337549	 -0.001905	  0.003423	0.338623	0.0588945	1	1	179.677
   0.13728	 -0.527266	   2.27339	0.779763	 1.12104	2	1	75.4064
  0.401588	 -0.378331	  0.394809	0.586056	0.219638	1	1	43.292
  0.248209	  0.084552	 -0.233976	0.0746902	0.0131425	5	3	18.8113
    -1.023	   0.00803	  0.758702	0.561702	0.391509	2	2	179.55
 -0.366556	  0.057591	  0.567197	0.585684	0.219254	1	1	171.071
   0.38589	  0.251582	  0.594558	0.371959	0.145086	2	1	33.1025
  0.156752	   0.27908	 -0.084273	0.332765	0.0566873	1	1	60.6783
  0.107198	  -0.22171	  0.110399	  0.2765	0.0380526	1	1	64.196
 -0.170206	 -0.382474	   0.55947	0.597402	0.231661	1	1	113.99
  0.647802	 -0.453344	   1.29644	0.307858	0.239563	5	2	34.9851
 -0.268884	  0.000662	  0.046037	0.279258	0.0388636	1	1	179.859
  0.779539	   0.60427	    6.4895	0.572978	 2.06699	10	1	37.7816
  0.010023	  0.278463	  0.395083	0.458142	0.117261	1	1	87.9387
  0.096753	 -0.108033	  0.513699	0.494586	0.141242	1	1	48.1528
 -0.239167	  -1.10761	   2.20469	0.313401	0.398473	8	1	102.185
  0.342028	  0.403416	  0.707555	0.685594	 0.35049	1	1	49.7078
  0.036005	 -0.754971	    1.8188	0.723735	0.843431	2	0	87.2697
  0.270538	  0.218903	  0.885734	0.452397	0.227571	2	2	38.9777
 -0.378048	 -0.175636	 -0.007067	0.216833	0.0457447	2	1	155.081
  0.247062	  0.044379	 -0.004671	0.258553	0.0330175	1	1	10.1833
  0.028296	  0.177931	  0.813043	0.663913	 0.31633	1	1	80.9641
 -0.258959	 -0.254476	 -0.016432	 0.36129	0.0679482	1	1	135.5
  0.629753	 -0.047342	   1.32638	0.842842	 0.80497	1	1	4.29916
 -0.114519	   0.26806	   0.94627	0.725966	0.425907	1	1	113.133
  0.196825	 -0.139867	  0.467859	0.489065	 0.13753	1	0	35.3982
 -0.042234	  0.250672	   0.83558	0.681453	0.343662	1	1	99.5636
 -0.218577	  -1.03112	  0.300276	0.280248	0.156712	4	2	101.968
  0.383856	 -0.210863	   29.5123	0.679004	 11.5569	34	14	28.7813
 -0.033296	 -0.381635	   1.15338	0.791324	0.596828	1	0	94.9863
 -0.267895	  0.285103	  0.755985	0.672018	0.328653	1	1	133.218
  0.785894	 -0.274716	   1.48936	 0.51821	0.476591	3	1	19.2675
  0.331233	  -0.20286	   0.42504	0.523143	0.162623	1	1	31.485
  0.223646	 -0.247937	  0.884528	0.709524	0.393517	1	0	47.9487
 -0.105604	  -0.24113	  0.667505	 0.60758	0.242975	1	1	113.651
   0.23501	  0.114952	 -0.152882	0.307103	0.0476801	1	0	26.065
 -0.572301	 -0.189435	  0.945633	0.512694	0.309355	2	0	161.685
 -0.146988	 -0.108293	 -0.159419	0.249932	0.0307774	1	0	143.619
  0.050228	 -0.472064	  0.470663	0.579965	0.213654	1	0	83.9266
 -0.349069	 -0.086489	  0.783712	0.676378	0.335855	1	0	166.084
 -0.305673	 -0.479054	  0.848164	0.736025	0.448095	1	0	122.541
  0.138903	  0.209865	  0.804872	0.668177	0.323092	1	0	56.5007
  -0.61048	 -0.281133	  0.924992	0.772796	0.540545	1	0	155.274
 -0.135742	   0.17188	   0.91638	0.448618	0.223202	2	1	128.3
  0.161504	 -0.140133	   0.04942	0.227585	0.025305	1	0	40.9474
  -1.33305	  0.437497	   1.44282	 0.58158	0.645403	3	2	161.831
  0.332816	  0.302807	  0.203488	0.465464	0.121937	1	0	42.297
 -0.102712	  0.102534	 -0.106412	0.188228	0.0170897	1	0	135.05
  0.266388	 -0.185735	  0.257941	0.404012	0.087506	1	0	34.8856
 -0.187705	  0.146014	  0.451382	0.477419	0.129653	1	0	142.121
  0.038099	 -0.025234	 -0.154687	0.169295	0.0137525	1	0	33.5176
 -0.051758	  0.158539	  0.501344	 0.49038	0.138442	1	0	108.08
  0.104042	 -0.007433	  0.373743	 0.38191	0.0770142	1	0	4.0864
  0.362496	 -0.724836	  0.547884	0.462173	0.239624	2	1	63.4301
  0.400524	 -0.647263	  0.919646	0.536661	0.347465	2	1	58.251
  0.146941	 -0.410646	  0.381648	0.525216	0.164448	1	0	70.3114
 -0.516686	   1.28358	   3.45504	0.621209	 1.29623	5	0	111.927
  0.092635	 -0.306451	  0.513895	0.541908	0.178275	1	0	73.1809
  0.049922	  0.236923	  0.940467	0.718901	 0.41186	1	0	78.1013
 -0.229351	 -0.162473	  0.717981	0.634599	0.275997	1	0	144.686
 -0.054819	  0.097241	  0.835575	0.668044	 0.32289	1	0	119.412
  0.236926	  0.047258	  0.739133	0.637817	0.280182	1	0	11.2804
 -0.190396	 -0.057044	  0.528001	0.287849	0.0829538	2	1	163.322
 -0.103424	   -0.4427	   1.18537	0.560257	0.389036	2	1	103.15
  0.587736	  0.258601	  0.529356	0.663257	 0.31569	1	0	23.7493
 -0.351066	  0.262786	  0.378952	0.525234	0.164462	1	0	143.184
  0.071981	  0.165343	 -0.083188	0.206919	0.0207712	1	0	66.4745
 -0.067065	 -0.033345	  0.542977	0.504124	0.148269	1	0	153.563
 -0.063441	  0.126303	  0.134157	0.203202	0.020008	1	0	116.67
 -0.143427	  0.208359	 -0.068452	0.268803	0.0358802	1	0	124.542
  0.077811	 -0.212832	  0.994452	0.735697	0.447365	1	0	69.9177
  0.183702	  0.183648	  0.632208	0.588499	0.222413	1	0	44.9916
  0.284511	  0.138285	  0.361926	0.455677	0.115884	1	0	25.9218
 -0.172035	  0.364001	  0.311149	 0.47643	0.129002	1	0	115.297
  0.288561	  0.113859	  0.574993	0.571135	0.204927	1	0	21.533
 -0.164758	  0.323053	  0.108425	0.373861	0.0734156	1	0	117.022
  0.032712	 -0.293664	  0.300886	0.409688	0.0903503	1	0	83.6439
 -0.188689	  0.278075	  0.481739	0.530319	0.168575	1	0	124.159
  0.415728	 -0.164367	  0.183375	0.457555	0.117027	1	0	21.5724
 -0.146344	  0.205771	  0.082674	0.272265	0.0368659	1	0	125.42
  0.707666	  0.012986	   1.51398	 0.66479	0.635955	2	0	1.05129
  0.410285	 -0.134106	  0.562842	0.602744	0.237788	1	0	18.1005
 -0.029463	  0.358474	  0.416881	0.505824	0.149523	1	0	94.6987
  0.291569	 -0.530356	  0.334044	 0.59286	0.227017	1	0	61.1998
  0.546945	 -0.140736	   0.51449	0.631108	0.271527	1	0	14.4299
 -0.175301	  0.066967	  0.272725	0.332497	0.056648	1	0	159.093
 -0.035608	 -0.345624	   0.02217	 0.34765	0.0624671	1	0	95.8822
  0.396812	  -0.17995	   1.97556	 0.73289	0.882354	2	0	24.3938
